timestamp,batch_stamp,topic,mode,model,attempts_used,xml_valid,group_count,rect_count,connector_elements_total,overlap_count,error_count,passed,plan_path,svg_path,png_path,failure_type,failure_detail,fatal_error
20260425_080419,20260425_080419,TCP 3-way handshake,v1_direct,openai/gpt-oss-120b,2,True,7,3,4,0,0,True,,svg/tcp_3-way_handshake_20260425_080419_v1_direct.svg,img/tcp_3-way_handshake_20260425_080419_v1_direct.png,,,
20260425_080437,20260425_080419,TCP 3-way handshake,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: start_handshake vs client_syn; Nodes too close/overlapping: start_handshake vs data_transfer; Nodes too close/overlapping: client_syn vs server_synack; Nodes too close/overlapping: client_syn vs data_transfer; Nodes too close/overlapping: server_synack vs client_ack; Nodes too close/overlapping: server_synack vs data_transfer; Nodes too close/overlapping: client_ack vs connection_established; Nodes too close/overlapping: client_ack vs termination; Nodes too close/overlapping: connection_established vs termination,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: start_handshake vs client_syn; Nodes too close/overlapping: start_handshake vs data_transfer; Nodes too close/overlapping: client_syn vs server_synack; Nodes too close/overlapping: client_syn vs data_transfer; Nodes too close/overlapping: server_synack vs client_ack; Nodes too close/overlapping: server_synack vs data_transfer; Nodes too close/overlapping: client_ack vs connection_established; Nodes too close/overlapping: client_ack vs termination; Nodes too close/overlapping: connection_established vs termination
20260425_080437,20260425_080419,Transformer architecture,v1_direct,openai/gpt-oss-120b,2,True,6,6,6,0,0,True,,svg/transformer_architecture_20260425_080419_v1_direct.svg,img/transformer_architecture_20260425_080419_v1_direct.png,,,
20260425_080514,20260425_080419,Transformer architecture,v2_planner,openai/gpt-oss-120b,1,True,6,6,6,0,0,True,reports/transformer_architecture_20260425_080419_v2_planner_plan.json,svg/transformer_architecture_20260425_080419_v2_planner.svg,img/transformer_architecture_20260425_080419_v2_planner.png,,,
20260425_080606,20260425_080419,Cell structure,v1_direct,openai/gpt-oss-120b,1,True,6,0,5,0,0,True,,svg/cell_structure_20260425_080419_v1_direct.svg,img/cell_structure_20260425_080419_v1_direct.png,,,
20260425_080658,20260425_080419,Cell structure,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: cell_membrane vs cytoplasm; Nodes too close/overlapping: cytoplasm vs nucleus; Nodes too close/overlapping: mitochondria vs ribosome; Nodes too close/overlapping: mitochondria vs endoplasmic_reticulum,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: cell_membrane vs cytoplasm; Nodes too close/overlapping: cytoplasm vs nucleus; Nodes too close/overlapping: mitochondria vs ribosome; Nodes too close/overlapping: mitochondria vs endoplasmic_reticulum
20260425_080658,20260425_080419,DNS resolution flow,v1_direct,openai/gpt-oss-120b,2,True,6,6,6,0,0,True,,svg/dns_resolution_flow_20260425_080419_v1_direct.svg,img/dns_resolution_flow_20260425_080419_v1_direct.png,,,
20260425_080735,20260425_080419,DNS resolution flow,v2_planner,openai/gpt-oss-120b,1,True,6,6,8,0,0,True,reports/dns_resolution_flow_20260425_080419_v2_planner_plan.json,svg/dns_resolution_flow_20260425_080419_v2_planner.svg,img/dns_resolution_flow_20260425_080419_v2_planner.png,,,
20260425_080828,20260425_080419,Photosynthesis process,v1_direct,openai/gpt-oss-120b,2,True,7,7,7,0,0,True,,svg/photosynthesis_process_20260425_080419_v1_direct.svg,img/photosynthesis_process_20260425_080419_v1_direct.png,,,
20260425_080933,20260425_080419,Photosynthesis process,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: light_absorption vs water_split; Nodes too close/overlapping: light_absorption vs carbon_fixation; Nodes too close/overlapping: water_split vs oxygen_release; Nodes too close/overlapping: water_split vs carbon_fixation; Nodes too close/overlapping: water_split vs glucose_production; Nodes too close/overlapping: oxygen_release vs electron_transport; Nodes too close/overlapping: oxygen_release vs carbon_fixation; Nodes too close/overlapping: oxygen_release vs glucose_production; Nodes too close/overlapping: electron_transport vs atp_synthesis; Nodes too close/overlapping: electron_transport vs glucose_production; Nodes too close/overlapping: carbon_fixation vs glucose_production,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: light_absorption vs water_split; Nodes too close/overlapping: light_absorption vs carbon_fixation; Nodes too close/overlapping: water_split vs oxygen_release; Nodes too close/overlapping: water_split vs carbon_fixation; Nodes too close/overlapping: water_split vs glucose_production; Nodes too close/overlapping: oxygen_release vs electron_transport; Nodes too close/overlapping: oxygen_release vs carbon_fixation; Nodes too close/overlapping: oxygen_release vs glucose_production; Nodes too close/overlapping: electron_transport vs atp_synthesis; Nodes too close/overlapping: electron_transport vs glucose_production; Nodes too close/overlapping: carbon_fixation vs glucose_production
20260425_080933,20260425_080419,HTTP request lifecycle,v1_direct,openai/gpt-oss-120b,1,True,7,7,7,0,0,True,,svg/http_request_lifecycle_20260425_080419_v1_direct.svg,img/http_request_lifecycle_20260425_080419_v1_direct.png,,,
20260425_081028,20260425_080419,HTTP request lifecycle,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: client_initiates_request vs dns_lookup; Nodes too close/overlapping: client_initiates_request vs server_processes_request; Nodes too close/overlapping: client_initiates_request vs generate_http_response; Nodes too close/overlapping: dns_lookup vs tcp_handshake; Nodes too close/overlapping: dns_lookup vs server_processes_request; Nodes too close/overlapping: dns_lookup vs generate_http_response; Nodes too close/overlapping: dns_lookup vs send_http_response; Nodes too close/overlapping: tcp_handshake vs send_http_request; Nodes too close/overlapping: tcp_handshake vs generate_http_response; Nodes too close/overlapping: tcp_handshake vs send_http_response; Nodes too close/overlapping: tcp_handshake vs client_receives_response; Nodes too close/overlapping: send_http_request vs send_http_response; Nodes too close/overlapping: send_http_request vs client_receives_response; Nodes too close/overlapping: server_processes_request vs generate_http_response; Nodes too close/overlapping: generate_http_response vs send_http_response; Nodes too close/overlapping: send_http_response vs client_receives_response,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: client_initiates_request vs dns_lookup; Nodes too close/overlapping: client_initiates_request vs server_processes_request; Nodes too close/overlapping: client_initiates_request vs generate_http_response; Nodes too close/overlapping: dns_lookup vs tcp_handshake; Nodes too close/overlapping: dns_lookup vs server_processes_request; Nodes too close/overlapping: dns_lookup vs generate_http_response; Nodes too close/overlapping: dns_lookup vs send_http_response; Nodes too close/overlapping: tcp_handshake vs send_http_request; Nodes too close/overlapping: tcp_handshake vs generate_http_response; Nodes too close/overlapping: tcp_handshake vs send_http_response; Nodes too close/overlapping: tcp_handshake vs client_receives_response; Nodes too close/overlapping: send_http_request vs send_http_response; Nodes too close/overlapping: send_http_request vs client_receives_response; Nodes too close/overlapping: server_processes_request vs generate_http_response; Nodes too close/overlapping: generate_http_response vs send_http_response; Nodes too close/overlapping: send_http_response vs client_receives_response
20260425_081028,20260425_080419,Neural network forward pass,v1_direct,openai/gpt-oss-120b,3,True,7,7,7,0,0,True,,svg/neural_network_forward_pass_20260425_080419_v1_direct.svg,img/neural_network_forward_pass_20260425_080419_v1_direct.png,,,
20260425_081153,20260425_080419,Neural network forward pass,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: input_layer vs hidden_layer1; Nodes too close/overlapping: hidden_layer1 vs activation1; Nodes too close/overlapping: activation1 vs hidden_layer2; Nodes too close/overlapping: hidden_layer2 vs activation2; Nodes too close/overlapping: activation2 vs output_layer; Nodes too close/overlapping: output_layer vs loss_calc,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: input_layer vs hidden_layer1; Nodes too close/overlapping: hidden_layer1 vs activation1; Nodes too close/overlapping: activation1 vs hidden_layer2; Nodes too close/overlapping: hidden_layer2 vs activation2; Nodes too close/overlapping: activation2 vs output_layer; Nodes too close/overlapping: output_layer vs loss_calc
20260425_081153,20260425_080419,CPU memory hierarchy,v1_direct,openai/gpt-oss-120b,1,True,7,7,6,0,0,True,,svg/cpu_memory_hierarchy_20260425_080419_v1_direct.svg,img/cpu_memory_hierarchy_20260425_080419_v1_direct.png,,,
20260425_081231,20260425_080419,CPU memory hierarchy,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: registers vs l1_cache; Nodes too close/overlapping: l1_cache vs l2_cache; Nodes too close/overlapping: l2_cache vs l3_cache; Nodes too close/overlapping: l3_cache vs main_memory; Nodes too close/overlapping: main_memory vs secondary_storage,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: registers vs l1_cache; Nodes too close/overlapping: l1_cache vs l2_cache; Nodes too close/overlapping: l2_cache vs l3_cache; Nodes too close/overlapping: l3_cache vs main_memory; Nodes too close/overlapping: main_memory vs secondary_storage
20260425_081231,20260425_080419,Kubernetes pod lifecycle,v1_direct,openai/gpt-oss-120b,1,True,6,6,8,0,0,True,,svg/kubernetes_pod_lifecycle_20260425_080419_v1_direct.svg,img/kubernetes_pod_lifecycle_20260425_080419_v1_direct.png,,,
20260425_081319,20260425_080419,Kubernetes pod lifecycle,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: pending vs container_creating; Nodes too close/overlapping: container_creating vs running; Nodes too close/overlapping: running vs succeeded; Nodes too close/overlapping: succeeded vs failed; Nodes too close/overlapping: failed vs unknown,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: pending vs container_creating; Nodes too close/overlapping: container_creating vs running; Nodes too close/overlapping: running vs succeeded; Nodes too close/overlapping: succeeded vs failed; Nodes too close/overlapping: failed vs unknown
20260425_081319,20260425_080419,Blockchain transaction flow,v1_direct,openai/gpt-oss-120b,1,True,6,6,5,0,0,True,,svg/blockchain_transaction_flow_20260425_080419_v1_direct.svg,img/blockchain_transaction_flow_20260425_080419_v1_direct.png,,,
20260425_081356,20260425_080419,Blockchain transaction flow,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: user_initiates vs broadcast; Nodes too close/overlapping: broadcast vs validation; Nodes too close/overlapping: validation vs consensus; Nodes too close/overlapping: consensus vs block_added; Nodes too close/overlapping: block_added vs confirmation,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: user_initiates vs broadcast; Nodes too close/overlapping: broadcast vs validation; Nodes too close/overlapping: validation vs consensus; Nodes too close/overlapping: consensus vs block_added; Nodes too close/overlapping: block_added vs confirmation
